,state,university,rights_type,acres,gis_acres,trust_name,managing_agency,meridian,township,range,section,aliquot,data_source,geometry
58,NM,New Mexico State University,subsurface,40.0,39.83,New Mexico State University,State Land Office,23,13N,14W,06,NESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((194606.31410000008 3921092.4075000007, 194596.27909999993 3920691.4180999994, 194194.38879999984 3920703.6753000002, 194203.91089999955 3921104.943499999, 194606.31410000008 3921092.4075000007))"
59,NM,New Mexico State University,subsurface,40.0,39.75,New Mexico State University,State Land Office,23,13N,14W,06,NWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((195008.37260000035 3921079.8813000005, 194997.51439999975 3920679.201199999, 194596.27909999993 3920691.4180999994, 194606.31410000008 3921092.4075000007, 195008.37260000035 3921079.8813000005))"
60,NM,New Mexico State University,subsurface,40.0,39.92,New Mexico State University,State Land Office,23,13N,14W,06,SENE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((195423.07849999983 3921468.6910999995, 195410.42960000038 3921067.3531, 195008.37260000035 3921079.8813000005, 195019.71600000001 3921481.3049, 195423.07849999983 3921468.6910999995))"
61,NM,New Mexico State University,subsurface,40.0,39.94,New Mexico State University,State Land Office,23,13N,14W,06,SENW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((194616.35199999996 3921493.9168999996, 194606.31410000008 3921092.4075000007, 194203.91089999955 3921104.943499999, 194213.40249999985 3921506.7128, 194616.35199999996 3921493.9168999996))"
62,NM,New Mexico State University,subsurface,40.0,39.65,New Mexico State University,State Land Office,23,13N,14W,06,SESE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((195398.7474999996 3920666.9623000007, 195387.0839999998 3920266.591, 194986.6732999999 3920278.5007000007, 194997.51439999975 3920679.201199999, 195398.7474999996 3920666.9623000007))"
63,NM,New Mexico State University,subsurface,40.0,39.78,New Mexico State University,State Land Office,23,13N,14W,06,SESW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((194596.27909999993 3920691.4180999994, 194586.26260000002 3920290.4484, 194184.86760000046 3920302.3873999994, 194194.38879999984 3920703.6753000002, 194596.27909999993 3920691.4180999994))"
64,NM,New Mexico State University,subsurface,40.0,39.92,New Mexico State University,State Land Office,23,13N,14W,06,SWNE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((195019.71600000001 3921481.3049, 195008.37260000035 3921079.8813000005, 194606.31410000008 3921092.4075000007, 194616.35199999996 3921493.9168999996, 195019.71600000001 3921481.3049))"
65,NM,New Mexico State University,subsurface,40.0,39.67,New Mexico State University,State Land Office,23,13N,14W,06,SWSE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((194997.51439999975 3920679.201199999, 194986.6732999999 3920278.5007000007, 194586.26260000002 3920290.4484, 194596.27909999993 3920691.4180999994, 194997.51439999975 3920679.201199999))"
66,NM,New Mexico State University,subsurface,40.0,39.68,New Mexico State University,State Land Office,23,13N,14W,08,NENE,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((196997.86930000037 3920200.5459000003, 196982.87239999976 3919801.632200001, 196580.96279999986 3919817.558700001, 196595.1771999998 3920217.0198999997, 196997.86930000037 3920200.5459000003))"
67,NM,New Mexico State University,subsurface,40.0,39.79,New Mexico State University,State Land Office,23,13N,14W,08,NENW,https://mapservice.nmstatelands.org/GISDataDownloads/ZipFiles/slo_STLStatusCombined.zip,"POLYGON ((196192.48550000042 3920233.5319, 196179.06850000005 3919833.4826999996, 195777.15809999965 3919849.4453, 195789.77630000003 3920250.0427, 196192.48550000042 3920233.5319))"
